source,target,type,weight
350224188,835028362032742400,Directed,1
2940722500,835028362032742400,Directed,1
630367566,835028362032742400,Directed,1
169122143,835028362032742400,Directed,1
38666681,835028362032742400,Directed,1
401477209,778452598814670848,Directed,1
598187305,778452598814670848,Directed,1
1686757266,778452598814670848,Directed,1
2811544063,778452598814670848,Directed,1
2422623238,820685731450552322,Directed,1
288246284,820685731450552322,Directed,1
930518624,820685731450552322,Directed,1
849339692,820685731450552322,Directed,1
707938812916330496,820685731450552322,Directed,1
1686757266,820685731450552322,Directed,1
461280342,708454222375821315,Directed,1
2740742208,708454222375821315,Directed,1
574221482,708454222375821315,Directed,1
2422623238,828020555802607620,Directed,1
401477209,828020555802607620,Directed,1
237300872,828020555802607620,Directed,1
475746939,828020555802607620,Directed,1
764021907171663872,828020555802607620,Directed,1
2163310968,828020555802607620,Directed,1
250912657,828020555802607620,Directed,1
1686757266,828020555802607620,Directed,1
1308602820,828020555802607620,Directed,1
3558853576,828020555802607620,Directed,1
797971200,450840581,Directed,1
630367566,450840581,Directed,1
551174114,450840581,Directed,1
501944828,450840581,Directed,1
831804464,1006485510,Directed,1
237300872,1006485510,Directed,1
701362882429263872,1006485510,Directed,1
1004909329,1006485510,Directed,1
344992558,1006485510,Directed,1
169122143,1006485510,Directed,1
1543913862,1006485510,Directed,1
636429203,1006485510,Directed,1
138098169,1006485510,Directed,1
501944828,1006485510,Directed,1
401477209,823209790381981697,Directed,1
237300872,823209790381981697,Directed,1
764021907171663872,823209790381981697,Directed,1
425096207,943884296,Directed,1
843246206,943884296,Directed,1
986846172,943884296,Directed,1
1558004148,943884296,Directed,1
501944828,943884296,Directed,1
371736833,1546889900,Directed,1
350224188,1546889900,Directed,1
532567918,1546889900,Directed,1
2304802170,1546889900,Directed,1
1686757266,1546889900,Directed,1
335553215,462921116,Directed,1
2717217147,462921116,Directed,1
798600121,462921116,Directed,1
697562296059588608,447440907,Directed,1
2333848675,447440907,Directed,1
532567918,447440907,Directed,1
501944828,447440907,Directed,1
2422623238,3018620940,Directed,1
288246284,3018620940,Directed,1
195830419,3018620940,Directed,1
1040695459,3018620940,Directed,1
475746939,3018620940,Directed,1
3108464907,3018620940,Directed,1
2163310968,3018620940,Directed,1
250912657,834093116655337474,Directed,1
175334832,834093116655337474,Directed,1
138098169,834093116655337474,Directed,1
